frame: 0
106.809 58.7137 32.1033
56.7513 58.9588 145.823
-103.176 -94.6244 -36.4131
16.4002 -105.773 -129.504
26.9927 -24.1831 -142.248
85.0483 4.18495 98.2716
-79.2628 94.9392 78.6203
108.008 99.9358 35.3646
-100.378 90.5739 -115.099
38.9278 46.9979 -15.9765
-85.4326 -80.9381 -157.233
-79.7268 100.331 136.078
24.9384 -142.979 -12.7602
-68.6912 122.892 15.0593
70.2875 -99.8804 14.5813
-52.9797 -63.9661 124.049
-74.5084 155.295 24.6982
100.473 -83.7923 4.21915
116.489 123.082 64.8223
79.9806 123.189 92.5657
29.1563 -59.7071 123.587
-138.108 -74.7832 -74.1382
-52.6254 -124.732 57.958
-56.5009 7.46522 26.818
-142.383 59.1386 -58.5327
-141.408 63.4885 -40.1972
112.222 10.8282 107.51
16.486 -60.8881 47.4086
-121.348 45.7023 104.764
73.0203 36.102 112.773
-69.4751 -53.8752 -133.189
-76.9268 -4.62227 -45.228
-123.9 -2.4046 126.234
-3.98135 -96.7006 -50.1218
106.878 42.7548 2.52743
12.3738 -26.4776 57.7266
-54.8959 138.755 -4.01697
121.341 -11.5587 -78.6014
-110.947 133.083 125.417
-30.3512 -40.0334 110.105
126.216 -21.964 -94.9816
90.1556 -20.5678 -115.077
68.5551 -111.213 103.411
122.148 -129.261 90.0975
-64.8425 75.206 -117.902
-130.973 -86.855 -56.3518
-32.5576 146.004 -49.9436
147.328 -29.4261 52.3654
-145.585 8.43684 -78.4872
82.0098 19.6954 -83.5514
-10.7639 29.2446 10.4802
-121.029 48.2703 102.245
69.8709 -36.5372 -25.0409
90.1182 -129.3 -12.9026
105.362 -77.2151 96.5534
60.2333 138.366 -76.7547
-11.9949 20.0402 -103.38
-1.47223 -8.95326 80.5483
-86.1063 -69.2867 -78.4631
104.089 67.8208 67.4126
25.0474 -47.8415 -68.1046
-139.922 40.1497 -34.0712
64.8173 -104.884 103.242
-130.199 -13.8921 -116.022
-141.15 -30.0746 19.8559
25.738 -23.6926 13.9931
-35.4669 -70.3577 -116.69
-69.7059 -29.025 -44.8924
64.1792 102.956 -82.5675
133.708 -53.8026 -25.3801
-110.507 -27.1511 18.9814
113.198 55.8852 26.7859
32.3834 -78.0327 -36.2209
68.8472 -96.692 60.1895
68.8011 -132.73 -52.4006
88.9721 101.883 18.0382
109.349 79.9009 54.9325
118.044 -36.8275 -87.2253
-58.5318 129.34 -23.0046
116.613 -103.734 89.2491
-154.364 -1.75448 -54.3762
129.24 66.8041 106.773
21.8873 131.435 31.0645
-107.527 -78.0527 -108.124
10.6452 10.8195 40.091
-109.563 151.903 -16.7411
29.0565 -20.3733 -137.104
103.865 -90.8373 119.915
57.9938 -101.913 -29.8679
26.5577 64.0596 -27.2084
-104.841 -109.742 79.4184
65.0609 118.599 -84.346
127.066 113.576 -20.3406
-86.0675 -22.088 1.67836
31.1364 -9.95218 -29.4271
-94.0192 15.6478 -41.3253
-137.088 -62.0091 -28.6495
93.3484 -27.8177 -124.467
-52.6622 -44.5028 116.458
60.3665 -52.5631 70.9966
-20.7888 53.7751 -60.7944
2.16442 -87.7926 -145.925
-25.7221 78.3872 -24.7264
59.0973 -14.0238 14.006
-44.9147 65.3012 64.4359
